"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1960","navigate to form page @smoke","chromium","2025-12-29","passed","2025-12-29","","tests\usePageObjects.spec.ts","",""
"","2314","parametrized methods @smoke @regression","chromium","2025-12-29","passed","2025-12-29","","tests\usePageObjects.spec.ts","",""
